Tree_GlobalID,INSPID,INSP_GlobalID,Risk_GlobalID,Risk_Defect,Risk_DefectLocation,Risk_Failure,Risk_ImpactTarget,Risk_FailureImpact,Risk_FailureConsequence,RiskRating,MitigationRecommendation
3C5B726A-232A-4455-A79D-1F93BBFA104A,6516251,47F10AD4-28C0-4FD7-A3E8-A7F75A10575D,CB8C9B85-C6DF-496E-BCFE-6194DF812F71,Weak Branch Unions,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
C39B9FBD-32A9-4261-9C3C-FECD217AEE06,6672584,CBCD6EC3-944B-4EC7-BD19-BF4EC626911E,24BC2161-ECEA-4A1E-9139-DD5C88DDD22C,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
77336EFB-1930-4777-9B78-E0C537C1363B,6691388,1F7F2BAA-25DB-47B8-BA95-499A4C76E18D,2A46CC96-A4EF-443D-808F-1A050782C268,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
4B21372B-8C4E-48C5-B0CA-DE9C0C999A18,7648110,AEC2DADA-042F-4368-BCFD-9E013542FCA5,6D4F4C1C-DF7C-4203-8D16-9AE276AF64D3,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
8977A7B4-82A8-49ED-A3A8-43A376B165FD,8025776,8FC6BC56-6248-4E74-85C2-9ACAA634AB4A,9C2CD0F9-01FF-49EC-A835-5AF091D4F1DF,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
0EDE9DB7-3163-44D8-B6C1-33AEA9E1DDBE,8372122,C0EC547C-E1D7-49A5-8C83-95F57C35110B,6C7B8B4F-CE19-48C8-BFEE-A342385EDE81,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2AD0D44E-8A83-4654-9A02-C6C91181FE68,8651098,F09A1B80-8CD6-45E7-BEC2-D08D63260124,9BC917E7-D44F-47A2-84F1-6E6BB8E9DFE6,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2069E9FF-8EC6-4AFE-9E17-A10C2FBCB4C4,7335274,F6BFC2D6-28C9-45D0-8441-1281A5185DD0,D24F417F-543F-47F9-A12D-4F0D18D0D877,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
22C4E59B-8A87-4681-ACD2-5CB30EA6E848,7730034,E5C0FAB2-E030-4FE8-B2C9-FCD0755B15C3,66CFA6D9-468D-4E7B-86F6-057A709BB579,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
BF5B487C-F999-437B-B9E8-836A8AEF100E,8167192,11B98DC3-411A-483F-8798-256B6BF81B18,9A1BD498-7290-4D0A-AD0C-4034BC5C679E,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
AD7F678E-4993-46EE-B12E-87DFD45661DF,8752637,7826CEC9-52D0-4FA3-BA08-0DAC3B3AE7D1,CFFF5440-D38E-44E2-B2BF-A7DD02D118A3,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
B202A914-E37D-444D-BCF9-994C7625D8DA,8752623,5C935391-8595-4A67-A883-ECD863FE5CA0,C2FF41F0-4EED-4FDD-819B-8050B7ECAB24,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
4A17602A-69A3-4E62-9AAE-9757E63BD1A2,8465781,309C5532-0FC2-403F-8DBB-50C4564D7AE7,F6489F53-F7B3-4B7E-9413-B2FEDAE7D9FE,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),MONITOR
5264968E-7FC1-484F-89A5-BA9E671C5A2B,5953676,1291A0A7-C0D4-4DD1-AB0F-80399010FD0B,61D910FF-1915-4BAC-B618-FB2463D18022,Weak Branch Unions,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9644BC66-0401-4C72-B990-9424E49CC5A2,7543410,831F462F-E608-404F-830F-7A286FBFEFC2,61F044BA-1A50-4087-9806-9CEF6009CD81,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
B41B4399-A98A-40FB-8FFC-F5D684E14D16,5707400,B1E320C0-C18C-4AA5-815B-40C6AE892676,6F763BA7-227E-4723-9710-3EC7C9DD5C05,Root Problems,Roots,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
C1B8AC26-FC63-4BE6-807B-D49F77D3DE48,6275299,488515E0-91DE-4A4B-A78F-232E33E44603,8F90EC82-F8C6-4179-B7FF-340CEF86834C,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NO WORK NEEDED
2BA3ECBC-C4CE-40A5-8461-E35C96E0EDB1,6501940,ADAFFD6B-BFAA-4A79-8DF7-57F0BB245F98,DDCCBB15-8F9B-4EE0-93E4-D48AA0F07C9F,Weak Branch Unions,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
1571C0FB-F415-45A9-8445-F97ABF9B5E0E,6514218,B82D4B53-AD23-48C9-867E-57A51D2F423C,D3143664-543A-4BD0-9996-9DA0F5E6D4B8,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
BDC97A1F-070F-40B2-88E0-DD46B53C8F0B,6366945,7EB94CA6-7FD4-4D05-936A-FE14D6E56859,504436D9-2F79-42D5-8FD5-9D2BA2D415B4,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2A703E9C-E1BE-4278-919B-64EE15393067,6444678,6CC86902-723D-4C98-8B7D-3D4A04E9610D,546C13A8-E9A2-4DC8-8C47-08521BA5C0F7,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),block prune
335C9ECD-F4F6-49E7-AA2C-8F86361D507A,6555525,28DC627D-FCA5-4020-B324-E7FD3AB16DFC,0844DB0E-07A8-4965-8891-98017D40B439,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
FD5E8352-E0C5-463C-AEC7-2F5EE6C39EED,6574358,8598F1C2-D94A-43A8-A807-36225FF8D698,6E8ECDF6-4C44-4C46-BCEF-BFEB7E5E11BF,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
27C30003-8CB6-445C-B65E-5812FA519779,6600304,9822A817-C180-4E21-BB21-C1F170FF76EC,22B55236-EDD5-4764-9A66-B071B084C7DA,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9D5E622F-318B-4726-9054-85E554D9FC9E,6613093,FA79AC88-3892-48BE-A341-2943D2A7D68C,22A711D1-AA52-49D7-BAD7-3A984455C6B3,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
0EA62FA0-5F7F-4531-8BC8-5C316928F0E9,7005378,F626D822-613E-4908-BC99-CC218005F4C4,E32E8CA0-0F84-419C-8A52-A22358D3387D,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
41819BB0-373B-46F9-A141-EFD589BE67DB,5915431,6AA90524-9CD3-4700-BE73-236C0F1F4C17,8B9E5C39-A0EB-4664-8428-12A12C8D021A,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),no wwork
44EAB152-B52C-4D4F-BDCF-108010D3C2B2,6067686,33E6BE06-CF9A-4297-BBA6-DC8F4CCB0207,A4935643-8004-4BD5-96CF-12839568572A,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
ADF081A6-676F-4776-9A26-E9A4A6785517,6165155,5774E37A-E8EA-4844-8163-5FB3741616F2,A9014AA3-E6FF-4DDC-9345-E38639B2F79E,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
306085AA-EE56-4AC5-A8AC-97A605DEE646,6130069,3CF3427E-F410-4324-BDCA-136AA474B19F,2CC65424-41EF-457C-AC66-B9739EAF78B8,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9D5E622F-318B-4726-9054-85E554D9FC9E,5630568,B7518CBD-DCE8-4AFE-B937-D7CAE659D37F,0BF82018-0E4F-4AC2-8DA3-4B60439AA4D3,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),no work needed 
F617A968-E15D-4DEC-965D-0EC1CA3FA43E,6206892,22A1E935-1DE1-441B-B2A6-64796CF576AE,5C2383F5-97CD-4C3C-A2C3-886EB18A4154,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NO WORK NEEDED
3D9BA179-133A-4D61-BB81-91E2B2852FEF,6207244,9FD7256F-C169-4C92-B3B2-F620EE59EB44,3228DA21-E79D-4633-A2BF-4DB5131EE03B,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),PRUNING
9D5E622F-318B-4726-9054-85E554D9FC9E,5801753,A7874136-BD62-47C9-8793-B63F5EAF385F,EFA625CD-EF9C-4FB5-9173-D3CE9302B096,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
AB965530-4C1F-4791-B708-810BE4986C23,5989030,D8DB16A3-E524-46F9-BA7C-7B09E35A4ECC,669FFDE8-21FD-4916-913A-01F57437C69B,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
781E8B27-CD1E-4BC3-8637-B86C8631BDC9,6326066,C5D2A79D-CC76-4AD3-AF5B-AD5EB033BD81,AF875EDB-85B7-451D-8AD2-FEFEE9D21C21,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
317F9BC5-F371-472D-8925-A2C040264701,6337572,4D359B1A-CD9C-4F8C-B750-D8F35402D579,4864FE0F-3D96-404D-8E56-7786247FF9DA,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
7B9CC3BB-45E4-4317-863F-000052F2BAF8,6424892,3322695F-96DD-4ED0-9444-AA1F3F52DFBC,097C1C4D-7957-49C3-A2E7-C1FABFE556D2,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
C3C588AC-C1FA-4FD0-A0B6-488314E98ACE,5966651,13D6D25C-84F7-4E2B-88CB-FF6357AA76B7,798F89FE-EB5E-4B93-96BA-E1DD93503555,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9D5E622F-318B-4726-9054-85E554D9FC9E,5496275,F4FD8A18-81C3-4082-813C-62F4F5646EBD,E1E86AD4-B51F-425D-8C4B-1DD33DE84365,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),no work needed 
6AE70335-BAA3-4CD7-AF50-7F46B2F92CBF,5833714,34A35573-C256-43B2-9351-1AEAF440B93F,5754568A-7FE4-41AF-BA93-E0EA17137401,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
CA13F307-F088-40DE-BCBA-643F7A5F502D,5993776,14065481-905B-47B8-B186-306C22E95754,A7E2AC6A-4CAB-4278-A88F-BE0B8FC14728,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
B793FD15-66E0-4367-9ABD-D3EC619DFF05,6687149,425D3DC3-E43E-49BD-A12B-5FBE143646AD,716FD60E-51AC-4EFC-9718-F3861A418DA3,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
