Tree_GlobalID,INSPID,INSP_GlobalID,AddressedFailure,INSP_InspectionDate,INSP_RiskRating,INSP_Type,IsReinspection,INSP_ReinspectionDate,INSP_ParentInspectionGlobalID,INSP_TreeCondition,INSP_TreeStructure,INSP_TreeDBH,INSP_Comments,WO_CreatedDate,WO_ActualFinishDate,WO_Type,WO_Status,SR_GlobalID,SR_Type,SR_Source,SR_Status,SR_ResolutionAction,SR_CreatedDate,SR_ClosedDate
7B9CC3BB-45E4-4317-863F-000052F2BAF8,6424892,3322695F-96DD-4ED0-9444-AA1F3F52DFBC,No,9/18/2017 12:41 PM,Low (3),Level 2,Yes,9/13/2017 7:17 AM,70BD3775-EF50-4B44-B5DB-34440BE0DEC7,Dead,Full,2,NULL,9/18/2017 12:41 PM,NULL,Tree Removal,Cancel,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7B9CC3BB-45E4-4317-863F-000052F2BAF8,6424893,70BD3775-EF50-4B44-B5DB-34440BE0DEC7,No,8/30/2017 7:29 AM,NULL,Level 1,No,NULL,NULL,Dead,Full,2,BP17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
B23389DD-3EDC-41EB-8CA8-000981F5D64B,6004857,A2AAC418-613F-4322-AD25-B90EB266069C,No,5/8/2017 9:24 AM,NULL,Level 1,No,NULL,NULL,Fair,Full,5,"4F, Block Prune FY18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95E1F383-4504-4D1E-91BB-000AE2223385,6613156,D82E21D1-E69E-4ECF-A7C4-4BE7FAE4864B,No,10/31/2017 11:42 AM,NULL,Level 1,No,NULL,NULL,Good,Full,23,1F,10/31/2017 11:43 AM,NULL,Block Pruning,Cancel,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95E1F383-4504-4D1E-91BB-000AE2223385,7118171,A087568D-255B-4702-89AE-B1951C7F02AD,No,3/6/2018 5:00 AM,NULL,Level 1,No,NULL,NULL,Critical,Full,21,TREE DOWN BLOCKING ENTRANCE OV THE HOUSE,NULL,NULL,NULL,NULL,791DF178-CF97-4C55-9934-6951C9D5492C,Tree Down - Sidewalk,Department of Parks and Recreation - Public Web Site,Closed,Work Completed,3/3/2018 4:12 PM,3/7/2018 8:58 PM
1954F552-A0D3-423A-B634-000B9B3C5A8C,6126446,3040BCB8-A93C-40E6-BF50-97E41BD936F5,No,6/5/2017 10:00 AM,Moderate (9),Level 2,No,NULL,NULL,Dead,Full,5,NULL,6/5/2017 10:00 AM,NULL,Tree Removal,Cancel,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14AD6C46-EC00-4FF4-810B-00121B2F186E,5950917,A8227577-8E3B-44AF-A003-567DBCDF9365,No,4/20/2017 10:22 AM,NULL,Level 1,No,NULL,NULL,Fair,Full,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EFBAF01F-4A03-4B92-8305-0012C453A924,7975513,7B3F5599-8E5E-46D6-8A3F-21BB1D303F7C,No,11/30/2018 11:32 AM,Low (4),Level 2,Yes,12/4/2018 8:19 AM,C5CB4519-FD13-4461-B533-B968EC5A66E3,Dead,Full,17,NULL,11/30/2018 11:33 AM,NULL,Tree Removal,Cancel,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EFBAF01F-4A03-4B92-8305-0012C453A924,7975514,C5CB4519-FD13-4461-B533-B968EC5A66E3,No,11/20/2018 1:38 PM,NULL,Level 1,No,NULL,NULL,Poor,Full,17,1F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8B8C92C9-91D8-4ED4-A70F-003954F872F1,7798819,2879A84F-2422-4E4F-B7D9-E49A2C3EB12C,No,10/10/2018 1:07 PM,NULL,Level 1,No,NULL,NULL,Good,Full,5,BP-B19,10/17/2018 10:25 AM,12/31/2018 10:00 AM,Block Pruning,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL
A2C590F0-4AE2-428A-BD34-003F870CCC9C,10366804,55CFF50C-0EFA-4EE2-98FE-649D9131B2DE,No,5/18/2020 5:05 PM,Low (8),Level 2,No,NULL,NULL,Fair,Full,15,natural lean self correcting no uprooting evident,NULL,NULL,NULL,NULL,0E5C655A-3B41-4621-A06F-FF1132ACDA71,Tree Leaning,Department of Parks and Recreation - Public Web Site,Closed,Inspected - No Work Order,5/15/2020 4:06 PM,5/18/2020 5:05 PM
A2C590F0-4AE2-428A-BD34-003F870CCC9C,6607685,D3FB8AFD-8021-4027-9463-73EA1500C9F3,No,10/27/2017 2:21 PM,NULL,Level 1,No,NULL,NULL,Fair,Full,15,NULL,10/27/2017 2:21 PM,3/5/2018 4:00 AM,Block Pruning,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C2775315-6F15-4721-BB0B-0063B394091F,9111594,46022659-DFF9-4B2F-83AF-935C6D2FD478,No,9/16/2019 10:53 AM,Low (7),Level 2,No,NULL,NULL,Dead,Full,6,dead,9/16/2019 10:54 AM,11/12/2020 5:00 AM,Tree Removal,Closed,0C4E2D11-D081-4398-98DC-CBCC350BD0D1,Dead Tree Older Than 2 Years,3-1-1 Call Center,Closed,Work Completed,8/31/2019 8:05 PM,11/12/2020 6:30 PM
C2775315-6F15-4721-BB0B-0063B394091F,9693273,0FD4A97E-0ACD-417C-B991-5660C96C7819,No,2/8/2020 5:00 AM,Low (8),Level 2,No,NULL,NULL,Poor,Full,5,Tree is on Removal list ,NULL,NULL,NULL,NULL,1A30F0AA-4A8E-4C61-AAED-C5309EB0EE24,Limb Down - Sidewalk,3-1-1 Call Center,Closed,Work Completed,2/7/2020 8:00 PM,2/8/2020 5:03 PM
82A0A486-B713-4DC5-BDBA-0069D5CF1E65,6339082,20CD551F-300E-4351-B53B-F48833DD0CC7,No,8/1/2017 12:20 PM,NULL,Level 1,No,NULL,NULL,Dead,Full,17,BPS18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
